     |    |  var | 1C | 5 8|encode_text     zscii-text length from coded-text|encode_text     
     |    |  var | 1D | 5 8|copy_table      first second size|copy_table      
     |    |  var | 1E | 5 8|print_table     zscii-text width height skip|print_table     
     |   *|  var | 1F | 5 8|check_arg_count argument-number|check_arg_count 
   * |    |  ext |   0 | 5 8|save            table bytes name -> (result)|save            
   * |    |  ext |   1 | 5 8|restore         table bytes name -> (result)|restore         
   * |    |  ext |   2 | 5 8|log_shift       number places -> (result)|log_shift       
   * |    |  ext |   3 | 5 8|art_shift       number places -> (result)|art_shift       
   * |    |  ext |   4 | 5 8|set_font        font -> (result)|set_font        
     |    |  ext |   5 | 6 8|draw_picture    picture-number y x|draw_picture    
     |   *|  ext |   6 | 6 8|picture_data    picture-number array ?(label)|picture_data    
     |    |  ext |   7 | 6 8|erase_picture   picture-number y x|erase_picture   
     |    |  ext |   8 | 6 8|set_margins     left right window|set_margins     
   * |    |  ext |   9 | 5 8|save_undo       -> (result)|save_undo       
   * |    |  ext |   A | 5 8|restore_undo    -> (result)|restore_undo    
     |    |  ext |   B | 5 8|print_unicode   char-number|print_unicode   
     |    |  ext |   C | 5 8|check_unicode   char-number -> (result)|check_unicode   
     |    |  ext |  10 | 6 8|move_window     window y x|move_window     
     |    |  ext |  11 | 6 8|window_size     window y x|window_size     
     |    |  ext |  12 | 6 8|window_style    window flags operation|window_style    
   * |    |  ext |  13 | 6 8|get_wind_prop   window property-number -> (result)|get_wind_prop   
     |    |  ext |  14 | 6 8|scroll_window   window pixels|scroll_window   
     |    |  ext |  15 | 6 8|pop_stack       items stack|pop_stack       
     |    |  ext |  16 | 6 8|read_mouse      array|read_mouse      
     |    |  ext |  17 | 6 8|mouse_window    window|mouse_window    
     |   *|  ext |  18 | 6 8|push_stack      value stack ?(label)|push_stack      
     |    |  ext |  19 | 6 8|put_wind_prop   window property-number value|put_wind_prop   
     |    |  ext |  1A | 6 8|print_form      formatted-table|print_form      
     |   *|  ext |  1B | 6 8|make_menu       number table ?(label)|make_menu       
     |    |  ext |  1C | 6 8|picture_table   table|picture_table   
